逾期180天以上未还款本金,_OverDue_180_Princp
答案,_Answer
打包,_Pack
打印,_Print
大额,_Large
大类,_Class
大型,_Large
代办,_Agent
代表,_Repre
代偿,_Repay
代订,_Order
代发,_Agent
代付,_Era_Pay
代号,_Code
代缴,_Deduct
代客,_Agent
代扣,_Deduct
代理,_Agent
代码,_Cd
代收,_Collect
代替,_Replace
代销,_Sell
贷款,_Loan
担保,_Guar
单笔,_Singl
单价,_Unit_Prc
单据,_Doc
单利,_Singl_Int
单位,_Unit
单一,_Single
单元,_Unit
当年,_Annual
当期,_Curr
当前,_Curr
当日,_Intraday
当天,_Today
档案,_Doc
档次,_Lvl
导出,_Export
导入,_Import
到达,_Arrv
到单,_Arrv_Bil
到货,_Ship_To
到期,_Due
到账,_Rcv
登记,_Reg
登录,_Logon
登折,_Book
等待,_Wait
等额,_Equal
等级,_Lvl
等价,_Equvl
抵扣,_Deduction
抵押,_Mortg
底盘,_Underpan
地点,_Loc
地理,_Geo
地面,_Ground
地区,_Zone
地市,_city
地税,_Local_Tax
地位,_Station
地址,_Addr
递送,_Express
递延,_Defer
递增,_Inc
第八,_Eighth
第二,_Sec
第六,_Sixth
第七,_Seventh
第三,_Third
第四,_Fourth
第五,_Fifth
第一,_Fst
点差,_Spread
点击,_Clk
点数,_Point
电报,_Telex
电话,_Tel
电文,_Teleg
电信,_Telcom
电子,_e
垫付,_Adv
垫款,_Adv
吊销,_REVOKE
掉期,_Swap
盯市,_MTM
订单,_Order
定价,_Pricing
定量,_Quantify
定期,_Time_Dep
定时,_Timing
定投,_Timing_Invest
定位,_Orient
定义,_Define
定制,_Custmz
丢失,_Lost
动户,_Chg_Acct
动态,_Dynamic
动账,_Chg_Acct
动作,_Action
冻结,_Frozen
度量,_Metric
短期,_Short
短缺,_Lack
短信,_Sms
段值,_Segment
队列,_Que
对冲,_Hedging
对方,_Oppo
对公,_Corp
对手,_Cntrpty
对私,_Indv
对象,_Obj
对账,_Recnclt
对照,_Map
额度,_Lmt
额外,_Extra
二次,_Sec
二级,_Sec
二期,_M2
二手,_Second_Hand
发报,_Snd
发出,_Snd
发电,_Gele
发票,_Invoice
发起,_Init
发生,_Occur
发送,_Snd
发证,_Issue
罚息,_Pny_Int
法定,_Legal
法人,_Corp_Rep
反馈,_Feedback
反向,_Reversal
返还,_Return
返回,_Resp
范围,_Scope
方案,_Proposal
方法,_Method
方面,_Aspect
方式,_Mode
方向,_Dir
访问,_Acs
放大,_Magnify
放款,_Loan_Issue
放弃,_Give_Up
费率,_Fee_Rate
费用,_Cost
分层,_Lvl
分档,_Segment
分段,_Segment
分发,_Dlv
分红,_Divi
分机,_Extension Num
分类,_Class
分录,_Entries
分配,_Alloc
分期,_Istlm
分摊,_Apport
分析,_Anl
分销,_Distribution
分页,_Page
份额,_Shr
份数,_Shr
风格,_Style
风险,_Risk
封锁,_Lock
否决,_Veto
服务,_Srv
浮动,_Float
符号,_Symb
抚养,_Raise
辅币,_Fractional
辅助,_Assist
父母,_Parent
父姓,_Paternal_Surname
付方,_Payer
付费,_Pay
付款,_Pay
付清,_Paidoff
付息,_Pay_Int
负数,_Negat
负债,_Liab
附加,_Addi
附件,_Accessory
附属,_Addi
附言,_Postsc
复核,_Chk
复利,_Compd_Int
复议,_Review
副本,_Copy
覆盖,_Cover
改变,_Chg
改单,_Update_Doc
改进,_Improve
改证,_LC_Update
概率,_Problt
岗位,_Post
港币,_Hkd
港口,_Port
格式,_Format
个人,_Indv
个数,_Qty
跟单,_Doc
跟踪,_Trace
更新,_Update
工程,_Proj
工单,_Work_Form
工号,_Job_Num
工具,_Instrument
工龄,_Work_Ye
工资,_Salary
工作,_Work
公告,_Ann
公共,_Pub
公式,_Formula
公司,_Corp
公用,_Pub
公允,_Fair
功率,_Power
功能,_Func
共享,_Shr
贡献,_Contribute
供应,_Supply
构造,_Stru
购买,_Purch
购入,_Purch
估值,_Evaluate
固定,_Fixed
故障,_Fault
雇佣,_Employ
雇主,_Employer
挂单,_Pending_Order
挂钩,_Lnk
挂起,_Hang
挂失,_Loss
挂账,_On_Acct
关闭,_Close
关机,_Shutdown
关联,_Assoc
关系,_Rela
关注,_Care
管理,_Mgmt
冠字,_Cap
广告,_Advertise
归并,_Merge
归档,_Archive
归集,_Gather
归属,_Blng
规定,_Apnt
规格,_Specfc
规模,_Size
规则,_Rule
轨迹,_Track
柜面,_Cnter
柜台,_Cnter
柜员,_Teller
滚存,_Roll
滚动,_Roll
国标,_GB
国别,_Cty
国籍,_Nation
国际,_Intl
国家,_Cty
国结,_Ist
国库,_Treasury
国民,_National
国内,_Domes
国税,_Nation_Tax
国外,_Ovsea
国债,_Gov_Bond
过渡,_Transition
过户,_Tfr
过期,_Overdue
过桥,_Bridge
过小,_Low
过账,_Posting
还款,_Repay
还原,_Restore
海关,_Customs
海外,_Ovsea
行动,_Behav
行号,_Id
行内,_Hxb
行情,_Price
行权,_Exercise
行使,_Perform
行为,_Behavior
行业,_Indu
行政,_Admn
毫秒,_Msec
号码,_Num
合并,_Con
合法,_Right
合格,_Eligible
合规,_Compliance
合计,_Sum
合同,_Contract
合作,_Co
和解,_Compromise
核保,_Decision
核对,_Check
核算,_Stl
核销,_Write_Off
核心,_BCS
电商,_IBS
核准,_Appr
红包,_Red_Pack
红利,_Divi
后收,_After_Reci
后台,_Back
后缀,_Suffix
呼叫,_Call
呼入,_Incoming
忽略,_Ignore
互保,_Mutual_Guar
互换,_Swap
户籍,_Reg_Reside
护照,_Passport
花旗,_Citi
划拨,_Transf
划款,_Tfr
华夏,_HXB
坏账,_Baddebt
环境,_Env
环球,_Global
缓释,_Mitg
换卡,_Chg_Card
黄金,_Gold
恢复,_Resume
回报,_Repay
回单,_Rebil
回复,_Reply
回购,_Buyback
回收,_Recover
回售,_Put_Back
回执,_Recpt
回转,_Trsf
汇总,_Sum
会计,_Accting
会员,_Member
惠誉,_Fitch
婚姻,_Marriage
混合,_Mixed
活动,_Actvy
活期,_Saving
活跃,_Active
伙伴,_Partner
或有,_Off
货币,_Ccy
货物,_Goods
获取,_Obtain
机构,_Org
机关,_Org
机具,_Machine
机器,_Machine
机械,_Machine
积分,_Pts
积累,_Accum
积数,_Accum
基本,_Base
基础,_Base
基点,_Bas_Point
基金,_Fund
基期,_Bas_Per
基数,_Base
基准,_Base
激活,_Actvn
及时,_Intime
级别,_Lvl
即期,_Spot
即时,_Instant
集团,_Grp
集中,_Concentration
计费,_Cal_Fee
计划,_Plan
计价,_Valt
计量,_LNA
计算,_Cal
计提,_Accrued
计息,_Int
记录,_Rec
记账,_Biling
技能,_Skill
技术,_Tech
季度,_Qtr
季均,_Qavg
继续,_Conti
寄单,_Post_Doc
寄送,_Send
加减,_Add_Sub
加密,_Encry
加权,_Weighted
加入,_Join
加载,_Load
家访,_Visit
家庭,_Family
假日,_Holiday
价格,_Prc
价值,_Val
架构,_Stru
间隔,_Interval
间接,_Indirect
监管,_Regulate
监护,_Custody
监控,_Monitor
检查,_Chk
检索,_Rtrv
减除,_Reduce
减额,_Reduce
减价,_Reduce
减免,_Derate
减少,_Reduce
减值,_Deval
简称,_Short_Name
简单,_Simple
简介,_Abstract
建成,_Complt
建立,_Create
建设,_Constru
建议,_Proposal
建账,_Buil_Acct
建筑,_Bldg
健康,_Health
鉴定,_Authenticate
键盘,_Keyboard
奖池,_Prize_Pool
奖金,_Bonus
奖励,_Award
降级,_Degrade
交叉,_Cros
交单,_Present
交费,_Pay
交付,_Dlv
交割,_Dlv
交互,_Intera
交换,_Xch
交收,_Dlv
交提,_Trade_Draw
交易,_Txn
角色,_Role
缴存,_depst
缴费,_Pay
缴款,_Pay
缴至,_insure_to
教育,_Edu
阶段,_Phase
接收,_Rcv
接受,_Acpt
揭示,_Reveal
街道,_Street
节点,_Node
结案,_Closed
结单,_Stl
结构,_Stru
结果,_Result
结论,_Concls
结清,_Setl
结束,_End
结算,_Stl
结息,_Int_Setl
结转,_Carry_Fwd
截止,_Close
解除,_Relieve
解冻,_Unfrozen
解付,_Solu_Pay
解挂,_Unloss
解汇,_Solu_Remit
解释,_Explain
解押,_Relea_Imp
解约,_Cancel_Contract
介质,_Medium
界面,_Interface
借贷,_Db_Cr
借方,_Db
借记,_Db
借据,_Duebill
借款,_Brw
今日,_Today
金额,_Amt
金融,_Fin
紧急,_Urgent
进出,_In_Out
进口,_Im
进入,_Entering
禁止,_Forbid
经办,_Oper
经济,_Economy
经理,_Mgr
经营,_Oper
精度,_Precision
警戒,_warn
警示,_Caut
净额,_Net
净值,_Nav
境内,_Domes
境外,_Ovsea
纠纷,_Dispute
久期,_Duration
久悬,_Sleep
居民,_Resident
居住,_Reside
矩阵,_Matrix
巨额,_Huge
拒付,_Dishonor
拒绝,_Refuse
捐赠,_Donate
卡号,_Card_Num
开发,_Dev
开放,_Open
开户,_Open
开立,_Issue
开平,_Open_Offset
开始,_Start
开通,_Open
开证,_LC_Issue
考核,_Asmt
考试,_Exam
科目,_Coa
可变,_Var
可售,_Sale
可提,_Getable
可选,_Allow
可疑,_Doubt
可用,_Usable
客户,_Cust
空白,_Blank
控制,_Ctrl
口径,_Caliber
扣费,_Deduct
扣减,_Deduct
扣款,_Deduct
库存,_Inventory
库管,_Store_Mgmt
快捷,_Shortcut
快速,_Fast
宽度,_Width
宽限,_Grc
扩展,_Ext
来单,_Arrv_Bil
来电,_Calling
来源,_Src
来账,_Vostro
来证,_Rcv_Lc
滥用,_Abuse
类别,_Categ
类型,_Type
累计,_Aggr
离岗,_Leave
离线,_Offline
离休,_disch
礼品,_Gift
里程,_Mileage
理财,_Fin
理论,_Theor
理赔,_Claim
理由,_Reason
历史,_His
立案,_Reg
立即,_At_Once
利差,_Sprd
利率,_Int_Rate
利润,_Profit
利息,_Int
例外,_Except
连接,_Lnk
连续,_Conts
联邦,_Commonwealth
联保,_Union_Guar
联贷,_Union_Loan
联行,_Inbank
联机,_Online
联系,_Contact
链式,_Chain
两次,_Sec
列表,_List
临时,_Temp
零售,_Retail
领款,_Draw
领取,_Draw
领用,_Used
令牌,_Token
流程,_Flow
六个,_Six
楼层,_Floor
楼盘,_Bldg
楼宇,_Bldg
录入,_Input
路径,_Path
路名,_Load_Name
路透,_RUT
路由,_Route
路援,_Road_Asst
逻辑,_Logic
旅行,_Travel
履行,_Perf
履历,_Resume
履约,_Perform
律师,_Lawer
率差,_Rate_Diff
买断,_Buyout
买方,_Buyer
买空,_Buy_Up
买入,_Buy
卖出,_Sell
卖断,_Sell_Out
卖方,_Seller
卖空,_Buy_Down
贸易,_Trade
每次,_Each
每份,_Each
每日,_Daily
每天,_Daily
每月,_Mon
美元,_Usd
门类,_Divsn
密码,_Pwd
密钥,_Key
免除,_Free
免费,_Free
免赔,_Deduc
面额,_Denom
面积,_Area
面值,_Par_Val
描述,_Desc
秒数,_Sec
民族,_Ethnic
名称,_Name
名单,_List
名录,_List
名牌,_Brand
名义,_Nominal
明日,_Tomorrow
明细,_Dtl
铭牌,_Nameplate
命令,_Command
模板,_Template
模块,_Module
模式,_Mode
模型,_Model
末期,_Final
默认,_Default
母姓,_Maternal_Surname
目标,_Target
目的,_Purpose
目录,_Catalog
内部,_Inter
内容,_Content
能力,_Ability
年初,_Yearbegin
年度,_Annual
年份,_Year
年检,_Annual_Chk
年均,_Yavg
年龄,_Age
年数,_Year
年限,_Years
农业,_Argi
欧元,_Eur
欧洲,_Euro
拍卖,_Auction
排量,_Displacement
排序,_Sort
牌照,_License
判断,_Judge
判决,_Judge
赔偿,_Cmpst
赔付,_Cmpst
赔款,_Cmpst
配偶,_Spouse
配售,_Placing
配置,_Conf
批次,_Bat
批复,_Aprv
批号,_Bat_Num
批量,_Batch
批准,_Aprved
披露,_Announce
匹配,_Match
偏好,_Pref
漂移,_Offset
票号,_Bil_Encode
票据,_Bil
票证,_Bil
拼音,_Spell
频度,_Freq
频率,_Freq
品牌,_Brand
品质,_Quality
平行,_Paral
平衡,_Bal
平均,_Avg
平盘,_Offset
平台,_Plat
评分,_Score
评估,_Est
评级,_Rating
评价,_Est
凭条,_Recpt
凭证,_Vchr
破产,_Bankrupt
普卡,_Ordinary_Card
期初,_init
期次,_Terms
期货,_Futures
